Address,Suburb,Beds,Baths,Carpark,Type,Size,By,Price,Date
22 Olliver Cres,St Clair Nsw 2759,3.0,2.0,2.0,House,560.2,Private Sale ,820000,2021-11-01
10 Lillypilly St,Colebee Nsw 2761,5.0,3.0,2.0,House,533.4,Private Sale ,1437000,2021-11-01
52 Charlotte Rd,Rooty Hill Nsw 2766,3.0,2.0,3.0,House,550.2,Private Sale ,895000,2021-11-01
913/187 Kent St,Millers Point Nsw 2000,1.0,1.0,0.0,Apartment,0.0,Private Sale ,1100000,2021-11-01
4 Yvette St,Baulkham Hills Nsw 2153,4.0,2.0,1.0,House,695.6,Private Sale ,1625000,2021-11-01
13/28A Henry St,Ashfield Nsw 2131,2.0,1.0,1.0,Unit,0.0,Auction ,650000,2021-11-01
2/43 Mackenzie St,Strathfield Nsw 2135,3.0,2.0,2.0,Townhouse,0.0,Auction ,1677000,2021-11-01
42/585 Canterbury Rd,Belmore Nsw 2192,2.0,2.0,1.0,Apartment,0.0,Private Sale ,602000,2021-11-01
1201/6 Charles St,Parramatta Nsw 2150,2.0,2.0,1.0,Unit,0.0,Private Sale ,605000,2021-11-01
9/46 Stewart St,Ermington Nsw 2115,3.0,2.0,1.0,Townhouse,0.0,Private Sale ,960000,2021-11-01
9 Nichols Ave,Revesby Nsw 2212,3.0,1.0,1.0,House,557.34,Auction ,1350000,2021-11-01
30/18 Shinfield Ave,St Ives Nsw 2075,2.0,2.0,1.0,Apartment,0.0,Private Sale ,1000000,2021-11-01
34 Kobina Ave,Glenmore Park Nsw 2745,3.0,2.0,1.0,House,405.0,Private Sale ,820000,2021-11-01
1/181 Chapel Rd,Bankstown Nsw 2200,3.0,1.0,3.0,Apartment,0.0,Private Sale ,610000,2021-11-01
913/187 Kent St,Millers Point Nsw 2000,1.0,1.0,0.0,Apartment,0.0,Private Sale ,1100000,2021-11-01
4/29 Norfolk St,Blacktown Nsw 2148,2.0,2.0,1.0,Townhouse,0.0,Private Sale ,670000,2021-11-01
41 Carlisle Cres,Beecroft Nsw 2119,4.0,2.0,2.0,House,658.2,Auction ,1881000,2021-10-31
5/72 Washington St,Bexley Nsw 2207,3.0,2.0,2.0,Townhouse,0.0,Auction ,1111000,2021-10-30
31 Bridge St,Penshurst Nsw 2222,5.0,4.0,2.0,House,482.97,Auction ,1765000,2021-10-30
31 Sandakan Rd,Revesby Heights Nsw 2212,3.0,1.0,1.0,House,670.3,Private Sale ,1250000,2021-10-30
30 Thornleigh St,Thornleigh Nsw 2120,4.0,3.0,2.0,House,445.9,Auction ,2106000,2021-10-30
29/3 Gallimore Ave,Balmain East Nsw 2041,1.0,1.0,1.0,Apartment,0.0,Private Sale ,1070000,2021-10-30
8 Leppington House Dr,Denham Court Nsw 2565,4.0,2.0,2.0,House,325.6,Auction ,1140000,2021-10-30
19 Stonecrop St,Denham Court Nsw 2565,5.0,3.0,2.0,House,375.0,Auction ,1430000,2021-10-30
32/300 Mitchell Rd,Alexandria Nsw 2015,2.0,1.0,1.0,Apartment,0.0,Auction ,1055000,2021-10-30
34 Fuggles Rd,Kenthurst Nsw 2156,5.0,4.0,4.0,House,4047.0,Auction ,4410000,2021-10-30
28 Smalls Rd,Ryde Nsw 2112,4.0,2.0,1.0,House,569.0,Auction ,2090000,2021-10-30
11A Bevan Pl,Carlingford Nsw 2118,4.0,3.0,2.0,House,791.8,Auction ,2365000,2021-10-30
32 Hunterford Cres,Oatlands Nsw 2117,5.0,3.0,2.0,House,594.2,Auction ,1975000,2021-10-30
33 Milsop St,Bexley Nsw 2207,3.0,1.0,1.0,House,371.55,Auction ,1520000,2021-10-30
5/46 Letitia St,Oatley Nsw 2223,2.0,1.0,2.0,Unit,0.0,Auction ,930000,2021-10-30
29/3 Gallimore Ave,Balmain East Nsw 2041,1.0,1.0,1.0,Apartment,0.0,Private Sale ,1070000,2021-10-30
608/5 Pymble Ave,Pymble Nsw 2073,2.0,2.0,2.0,Apartment,0.0,Auction ,1425000,2021-10-30
33 Waratah Rd,Berowra Nsw 2081,5.0,3.0,3.0,House,1088.0,Auction ,1915000,2021-10-30
47 Woodbine St,Yagoona Nsw 2199,3.0,2.0,2.0,House,613.04,Auction ,1085000,2021-10-30
6 Wanill Pl,Berowra Nsw 2081,3.0,2.0,2.0,House,739.8,Auction ,1685000,2021-10-30
1/2 Leyland Grove,Zetland Nsw 2017,3.0,2.0,2.0,Townhouse,0.0,Auction ,2090000,2021-10-30
37 Tokyo Rd,Austral Nsw 2179,4.0,3.0,2.0,House,376.5,Auction ,1200000,2021-10-30
86 Rose St,Sefton Nsw 2162,5.0,3.0,2.0,House,673.0,Auction ,1375000,2021-10-30
233 Denison St,Newtown Nsw 2042,3.0,1.0,1.0,House,123.5,Auction ,2497500,2021-10-30
31 Sandakan Rd,Revesby Heights Nsw 2212,3.0,1.0,1.0,House,670.3,Private Sale ,1250000,2021-10-30
19 North St,Auburn Nsw 2144,4.0,2.0,1.0,House,537.5,Auction ,1425000,2021-10-30
