Link,Address,Suburb,Beds,Baths,Carpark,Type,Sale Type,Price
https://www.ratemyagent.com.au/real-estate-agent/chao-ma-gk747/sales/overview,55/31 Mindarie Street,Lane Cove North NSW 2066,2,2,1,Apartment,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/agency/property-listings/11-157-dumaresq-st-campbelltown-afq4ev,11/157 Dumaresq St,Campbelltown NSW 2560,1,1,1,Apartment,Sold by Private Sale  on 06 Dec 2021,"$385,000"
https://www.ratemyagent.com.au/real-estate-agency/setia-real-estate/property-listings/40-5-the-avenue-mount-druitt-afq1j3,40/5 The Avenue,Mount Druitt NSW 2770,2,2,1,Apartment,Sold by Private Sale  on 06 Dec 2021,"$462,500"
https://www.ratemyagent.com.au/real-estate-agency/strathfield-partners/property-listings/cg048-1-belmore-street-burwood-afsw0t,CG048/1 Belmore Street,Burwood NSW 2134,3,3,1,Apartment,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/urban-land-housing-bella-vista/property-listings/11-157-dumaresq-st-campbelltown-afq4nq,11/157 Dumaresq St,Campbelltown NSW 2560,1,1,1,Apartment,Sold by Private Sale  on 06 Dec 2021,"$385,000"
https://www.ratemyagent.com.au/real-estate-agency/setia-real-estate/property-listings/9-9-11-wigram-street-harris-park-afpmek,9/9-11 Wigram Street,Harris Park NSW 2150,3,2,1,Apartment,Sold by Private Sale  on 06 Dec 2021,"$650,000"
https://www.ratemyagent.com.au/real-estate-agency/agency/property-listings/14-24-rosehill-street-parramatta-afqbk9,14/24 Rosehill Street,Parramatta NSW 2150,2,1,1,Apartment,Sold by Private Sale  on 06 Dec 2021,"$555,000"
https://www.ratemyagent.com.au/real-estate-agency/blueprint-property/property-listings/g11-2-thorogood-boulevard-kellyville-aer2a8,G11/2 Thorogood Boulevard,Kellyville NSW 2155,3,2,2,Apartment,Sold by Private Sale  on 05 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/cunninghams-balgowlah/property-listings/5-25-king-street-manly-vale-afuad7,5/25 King Street,Manly Vale NSW 2093,2,1,2,Apartment,Sold by Private Sale  on 04 Dec 2021,"$1,000,000"
https://www.ratemyagent.com.au/real-estate-agency/century-21-classic/property-listings/22-3-devitt-pl-hillsdale-afsem7,22/3 Devitt Pl,Hillsdale NSW 2036,3,1,1,Apartment,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/wiseberry-enmore/property-listings/12-65-trafalgar-st-stanmore-afsy5a,12/65 Trafalgar St,Stanmore NSW 2048,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$810,000"
https://www.ratemyagent.com.au/real-estate-agent/anthony-somlai-ad564/sales/overview,84/13 Waine St,Surry Hills NSW 2010,1,1,,,Sold by Private Sale  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/n-g-farah/property-listings/9-158-oberon-street-coogee-aft2tj,9/158 Oberon Street,Coogee NSW 2034,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$1,140,000"
https://www.ratemyagent.com.au/real-estate-agency/century-21-classic/property-listings/9-11a-randwick-street-randwick-afsugb,9/11A Randwick Street,Randwick NSW 2031,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/ray-white-paddington-nsw/property-listings/68-127-cook-road-centennial-park-afsttw,68/127 Cook Road,Centennial Park NSW 2021,2,1,2,Apartment,Sold by Private Sale  on 04 Dec 2021,"$1,380,000"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-mona-vale/property-listings/1-81-ocean-street-narrabeen-afsqqs,1/81 Ocean Street,Narrabeen NSW 2101,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$2,125,000"
https://www.ratemyagent.com.au/real-estate-agency/the-good-apple-group/property-listings/1-15-shellcove-road-kurraba-point-afrygy,1/15 Shellcove Road,Kurraba Point NSW 2089,3,2,2,Apartment,Sold by Auction  on 04 Dec 2021,"$3,925,000"
https://www.ratemyagent.com.au/real-estate-agency/raine-horne-newtown/property-listings/402-357-glenmore-road-paddington-afspmp,402/357 Glenmore Road,Paddington NSW 2021,1,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$1,825,000"
https://www.ratemyagent.com.au/real-estate-agency/raine-horne-lower-north-shore/property-listings/18-4-murray-st-lane-cove-north-afsor9,18/4 Murray St,Lane Cove North NSW 2066,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/n-g-farah/property-listings/303-1-5-pine-ave-little-bay-afv3x4,303/1-5 Pine Ave,Little Bay NSW 2036,1,1,1,Apartment,Sold by Private Sale  on 04 Dec 2021,"$780,000"
https://www.ratemyagent.com.au/real-estate-agency/devine-real-estate-drummoyne/property-listings/6-3-harbourview-cres-abbotsford-afss16,6/3 Harbourview Cres,Abbotsford NSW 2046,4,3,2,Apartment,Sold by Auction  on 04 Dec 2021,"$5,250,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-neutral-bay/property-listings/14-20-crows-nest-rd-waverton-afsv7d,14/20 Crows Nest Rd,Waverton NSW 2060,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/cobden-hayson-earlwood-marrickville/property-listings/2-154-homer-street-earlwood-afrny5,2/154 Homer Street,Earlwood NSW 2206,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$800,000"
https://www.ratemyagent.com.au/real-estate-agency/anthony-trees-first-national/property-listings/1-11-may-street-eastwood-afsfwf,1/11 May Street,Eastwood NSW 2122,2,2,1,Apartment,Sold by Auction  on 04 Dec 2021,"$765,000"
https://www.ratemyagent.com.au/real-estate-agency/olsen-romano-estate-agents/property-listings/2-11-dudley-street-randwick-afsq3d,2/11 Dudley Street,Randwick NSW 2031,3,2,1,Apartment,Sold by Auction  on 04 Dec 2021,"$1,675,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-annandale/property-listings/1-23-lambert-street-camperdown-afsacy,1/23 Lambert Street,Camperdown NSW 2050,1,1,1,Apartment,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/ray-white-park-coast/property-listings/3-25-cook-st-randwick-aftoib,3/25 Cook St,Randwick NSW 2031,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$1,070,500"
https://www.ratemyagent.com.au/real-estate-agency/bresicwhitney-glebe/property-listings/9-10-beatrice-st-ashfield-afserr,9/10 Beatrice St,Ashfield NSW 2131,1,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$677,000"
https://www.ratemyagent.com.au/real-estate-agency/warwick-williams-real-estate/property-listings/34-7-broughton-road-artarmon-afsfx7,34/7 Broughton Road,Artarmon NSW 2064,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$965,000"
https://www.ratemyagent.com.au/real-estate-agency/agency/property-listings/6-22-jessie-st-westmead-afsjew,6/22 Jessie St,Westmead NSW 2145,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$515,000"
https://www.ratemyagent.com.au/real-estate-agency/chase-property-group/property-listings/1-13-mill-st-carlton-afseft,1/13 Mill St,Carlton NSW 2218,2,1,2,Apartment,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/the-agency-lower-north-shore/property-listings/52-2-spruson-st-neutral-bay-afs3zl,52/2 Spruson St,Neutral Bay NSW 2089,2,2,3,Apartment,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/rich-oliva-croydon-park/property-listings/3-39-jeffrey-st-canterbury-afsh8q,3/39 Jeffrey St,Canterbury NSW 2193,2,1,1,Apartment,Sold by Auction  on 04 Dec 2021,"$780,000"
https://www.ratemyagent.com.au/real-estate-agency/bresicwhitney-glebe/property-listings/1402-7-mungo-scott-place-summer-hill-afsr99,1402/7 Mungo Scott Place,Summer Hill NSW 2130,2,2,1,Apartment,Sold by Auction  on 04 Dec 2021,"$1,420,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-neutral-bay/property-listings/603-250-pacific-highway-crows-nest-afsklo,603/250 Pacific Highway,Crows Nest NSW 2065,3,2,1,Apartment,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/bresicwhitney-balmain/property-listings/5-319-victoria-pl-drummoyne-afu8hf,5/319 Victoria Pl,Drummoyne NSW 2047,2,1,,,Sold by Auction  on 04 Dec 2021,Price unavailable
,613/2A Help Street,Chatswood NSW 2067,1,1,1,Apartment,Sold by Private Sale  on 03 Dec 2021,"$780,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-parramatta/property-listings/20-49-isabella-street-north-parramatta-aft0tt,20/49 Isabella Street,North Parramatta NSW 2151,2,2,1,Apartment,Sold by Private Sale  on 03 Dec 2021,"$690,000"
https://www.ratemyagent.com.au/real-estate-agency/century-21-masterpiece-waterloo/property-listings/302-1-gauthorpe-street-rhodes-afsi84,302/1 Gauthorpe Street,Rhodes NSW 2138,2,2,1,Apartment,Sold by Private Sale  on 03 Dec 2021,"$800,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-double-bay/property-listings/6-7-addison-st-kensington-afuzo1,6/7 Addison St,Kensington NSW 2033,2,1,,,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/lan-dom-real-estate/property-listings/18-65a-werona-ave-gordon-afqvim,18/65A Werona Ave,Gordon NSW 2072,1,1,1,Apartment,Sold by Auction  on 03 Dec 2021,"$580,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-parramatta/property-listings/501-52-dunmore-st-wentworthville-afqny5,501/52 Dunmore St,Wentworthville NSW 2145,1,1,1,Apartment,Sold by Private Sale  on 03 Dec 2021,"$470,000"
https://www.ratemyagent.com.au/real-estate-agency/uther-and-sun-property-pty-ltd/property-listings/2-10a-yeo-street-neutral-bay-afsptw,2/10A Yeo Street,Neutral Bay NSW 2089,2,1,,,Sold by Private Sale  on 03 Dec 2021,"$823,456"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-manly/property-listings/5-8-west-promenade-manly-afsuom,5/8 West Promenade,Manly NSW 2095,2,1,,,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-st-ives/property-listings/41-1-newhaven-place-st-ives-afu297,41/1 Newhaven Place,St Ives NSW 2075,2,2,1,Apartment,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/harcourts-rouse-hill-kellyville/property-listings/49-8-18-wallace-street-blacktown-afp9hp,49/8-18 Wallace Street,Blacktown NSW 2148,2,2,3,Apartment,Sold by Private Sale  on 03 Dec 2021,"$445,000"
