Link,Address,Suburb,Beds,Baths,Carpark,Type,Sale Type,Price
https://www.ratemyagent.com.au/real-estate-agency/orchard-properties/property-listings/98-brahman-road-box-hill-afnw4a,98 Brahman Road,Box Hill NSW 2765,4,2,2,House,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/one-agency-infinity-property-group/property-listings/30-euroka-street-ingleburn-afscob,30 Euroka Street,Ingleburn NSW 2565,3,1,1,House,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/property-jen-tim/property-listings/2-stuart-street-concord-west-afsrfc,2 Stuart Street,Concord West NSW 2138,3,2,3,House,Sold by Private Sale  on 06 Dec 2021,"$2,420,000"
https://www.ratemyagent.com.au/real-estate-agency/walsh-sullivan-first-national-northmead/property-listings/1-bevan-street-northmead-aftm8a,1 Bevan Street,Northmead NSW 2152,4,1,3,House,Sold by Auction  on 06 Dec 2021,"$1,510,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-ryde/property-listings/3-banksia-street-eastwood-afv4yi,3 Banksia Street,Eastwood NSW 2122,5,3,1,House,Sold by Private Sale  on 06 Dec 2021,"$2,468,000"
https://www.ratemyagent.com.au/real-estate-agency/agency/property-listings/7-walters-street-auburn-afmxst,7 Walters Street,Auburn NSW 2144,2,1,1,House,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/newton-real-estate/property-listings/16-roper-crescent-sylvania-waters-afsxup,16 Roper Crescent,Sylvania Waters NSW 2224,3,3,2,House,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-brighton-le-sands/property-listings/77-park-rd-kogarah-bay-afo8fn,77 Park Rd,Kogarah Bay NSW 2217,3,2,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,775,000"
https://www.ratemyagent.com.au/real-estate-agency/sydney-sothebys-international-realty/property-listings/73-darley-road-randwick-afsziz,73 Darley Road,Randwick NSW 2031,5,4,2,House,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-collaroy-dee-why/property-listings/70-edgecliffe-blvd-collaroy-plateau-aftgah,70 Edgecliffe Blvd,Collaroy Plateau NSW 2097,4,2,2,House,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-ingleburn/property-listings/382-riverside-drive-airds-afr4cr,382 Riverside Drive,Airds NSW 2560,6,3,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,110,000"
https://www.ratemyagent.com.au/real-estate-agency/ausrealty-revesby/property-listings/33-townsend-st-condell-park-afu8ue,33 Townsend St,Condell Park NSW 2200,4,1,2,House,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/property-central-penrith/property-listings/27-lorne-avenue-south-penrith-afsss3,27 Lorne Avenue,South Penrith NSW 2750,4,1,2,House,Sold by Private Sale  on 06 Dec 2021,"$882,000"
https://www.ratemyagent.com.au/real-estate-agency/pace-property-agents/property-listings/184-roberts-road-greenacre-aftt6a,184 Roberts Road,Greenacre NSW 2190,2,1,3,House,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/property-central-penrith/property-listings/52-tall-trees-drive-glenmore-park-aft2yq,52 Tall Trees Drive,Glenmore Park NSW 2745,3,2,1,House,Sold by Private Sale  on 06 Dec 2021,"$885,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-macarthur-group-ingleburn/property-listings/13c-lionel-street-ingleburn-aft3l2,13C Lionel Street,Ingleburn NSW 2565,3,1,1,House,Sold by Private Sale  on 06 Dec 2021,"$712,200"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-macarthur-group-ingleburn/property-listings/4-matthews-square-ingleburn-aft7fw,4 Matthews Square,Ingleburn NSW 2565,4,2,3,House,Sold by Private Sale  on 06 Dec 2021,"$1,000,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-nepean-group-glenmore-park/property-listings/33-allsopp-dr-cambridge-gardens-aft6nl,33 Allsopp Dr,Cambridge Gardens NSW 2747,3,1,2,House,Sold by Private Sale  on 06 Dec 2021,"$811,000"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-fairfield/property-listings/63-atkinson-street-liverpool-afr8es,63 Atkinson Street,Liverpool NSW 2170,5,3,2,House,Sold by Private Sale  on 06 Dec 2021,"$975,000"
https://www.ratemyagent.com.au/real-estate-agency/professionals-padstow/property-listings/54-mackinnon-avenue-padstow-afttx0,54 MacKinnon Avenue,Padstow NSW 2211,4,2,2,House,Sold by Auction  on 06 Dec 2021,"$1,700,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-nepean-group-penrith/property-listings/5-dewdrop-place-werrington-downs-aftgw7,5 Dewdrop Place,Werrington Downs NSW 2747,3,1,2,House,Sold by Private Sale  on 06 Dec 2021,"$812,000"
https://www.ratemyagent.com.au/real-estate-agency/purcell-property/property-listings/83-cascade-street-katoomba-afukrr,83 Cascade Street,Katoomba NSW 2780,3,1,1,House,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/ray-white-nepean-group-glenmore-park/property-listings/43-francis-street-cambridge-park-aft2cf,43 Francis Street,Cambridge Park NSW 2747,3,1,1,House,Sold by Private Sale  on 06 Dec 2021,"$845,000"
https://www.ratemyagent.com.au/real-estate-agency/marando-real-estate-south-west/property-listings/266-smithfield-rd-fairfield-west-afrvuv,266 Smithfield Rd,Fairfield West NSW 2165,3,1,3,House,Sold by Private Sale  on 06 Dec 2021,"$817,000"
https://www.ratemyagent.com.au/real-estate-agency/harcourts-exclusive/property-listings/40-lochinvar-parade-carlingford-afsbzi,40 Lochinvar Parade,Carlingford NSW 2118,4,2,2,House,Sold by Auction  on 06 Dec 2021,"$1,910,000"
https://www.ratemyagent.com.au/real-estate-agency/agency/property-listings/106-boundary-road-schofields-afsykn,106 Boundary Road,Schofields NSW 2762,4,2,2,House,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/first-national-hunters-hill-gladesville-ryde/property-listings/1-inkerman-road-denistone-aft2ea,1 Inkerman Road,Denistone NSW 2114,6,3,2,House,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/century-21-property-care-glenfield/property-listings/23-boddingtons-road-glenfield-afnk2i,23 Boddingtons Road,Glenfield NSW 2167,4,2,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,175,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-upper-north-shore-roseville/property-listings/233-tryon-road-east-lindfield-afn7cd,233 Tryon Road,East Lindfield NSW 2070,4,3,2,House,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/elders-hornsby/property-listings/17-moon-crescent-schofields-afrvlq,17 Moon Crescent,Schofields NSW 2762,5,3,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,300,000"
https://www.ratemyagent.com.au/real-estate-agency/global-re/property-listings/9-high-st-cabramatta-west-aft5r5,9 High St,Cabramatta West NSW 2166,6,4,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,150,000"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-bankstown/property-listings/8-aster-avenue-punchbowl-aftsgo,8 Aster Avenue,Punchbowl NSW 2196,5,3,2,House,Sold by Auction  on 06 Dec 2021,"$1,400,000"
https://www.ratemyagent.com.au/real-estate-agency/louis-carr-castle-hill/property-listings/4-carisbrook-st-kellyville-aftk4s,4 Carisbrook St,Kellyville NSW 2155,4,2,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,550,000"
https://www.ratemyagent.com.au/real-estate-agency/richardson-wrench-blacktown/property-listings/11-buckley-close-fairfield-west-afsri0,11 Buckley Close,Fairfield West NSW 2165,5,5,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,685,000"
https://www.ratemyagent.com.au/real-estate-agency/riverbank-real-estate/property-listings/6-waiana-st-pemulwuy-afoq24,6 Waiana St,Pemulwuy NSW 2145,4,2,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,550,000"
