Link,Address,Suburb,Beds,Baths,Carpark,Type,Sale Type,Price
https://www.ratemyagent.com.au/real-estate-agency/richardson-wrench-alexandria-waterloo/property-listings/239-cope-st-waterloo-afsell,239 Cope St,Waterloo NSW 2017,4,2,1,Townhouse,Sold by Auction  on 06 Dec 2021,"$1,495,000"
https://www.ratemyagent.com.au/real-estate-agency/award-group-real-estate/property-listings/6-7-bank-street-meadowbank-afr84r,6/7 Bank Street,Meadowbank NSW 2114,2,1,1,Unit,Sold by Private Sale  on 06 Dec 2021,"$540,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-cronulla/property-listings/12-1-ozone-street-cronulla-afsb4d,12/1 Ozone Street,Cronulla NSW 2230,2,1,1,Unit,Sold by Auction  on 06 Dec 2021,"$1,040,000"
https://www.ratemyagent.com.au/real-estate-agency/knapton-property-agents/property-listings/2-61-cornelia-st-wiley-park-aft24d,2/61 Cornelia St,Wiley Park NSW 2195,2,1,1,Unit,Sold by Private Sale  on 06 Dec 2021,"$380,000"
https://www.ratemyagent.com.au/real-estate-agency/ressler-property/property-listings/28-570-president-ave-sutherland-afoljg,28/570 President Ave,Sutherland NSW 2232,3,2,2,Unit,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-schofields/property-listings/18-duff-glad-schofields-afqglu,18 Duff Glad,Schofields NSW 2762,4,2,1,Townhouse,Sold by Private Sale  on 06 Dec 2021,"$828,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-quakers-hill-the-tesolin-group/property-listings/9-31-hillcrest-rd-quakers-hill-afsaop,9/31 Hillcrest Rd,Quakers Hill NSW 2763,4,2,1,Townhouse,Sold by Private Sale  on 06 Dec 2021,"$800,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-cherrybrook-thornleigh-west-pennant-hills/property-listings/27-45-edward-bennett-dr-cherrybrook-aft1jl,27/45 Edward Bennett Dr,Cherrybrook NSW 2126,3,2,2,Townhouse,Sold by Private Sale  on 06 Dec 2021,"$1,181,000"
https://www.ratemyagent.com.au/real-estate-agency/strathfield-partners/property-listings/5-11-manson-road-strathfield-afs8y7,5/11 Manson Road,Strathfield NSW 2135,3,2,2,Townhouse,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/royal-sky-property/property-listings/1-15-parkwood-rd-holsworthy-affkka,1/15 Parkwood Rd,Holsworthy NSW 2173,3,2,2,Townhouse,Sold by Private Sale  on 05 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-parramatta/property-listings/4-16-20-grandview-street-parramatta-afss48,4/16-20 Grandview Street,Parramatta NSW 2150,3,2,2,Townhouse,Sold by Auction  on 04 Dec 2021,"$975,000"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-burwood/property-listings/55-18-knocklayde-st-ashfield-afrqin,55/18 Knocklayde St,Ashfield NSW 2131,2,2,2,Unit,Sold by Auction  on 04 Dec 2021,"$805,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-castle-hill/property-listings/2-500-andrews-grove-kellyville-afubrf,2/500 Andrews Grove,Kellyville NSW 2155,4,2,2,Townhouse,Sold by Auction  on 04 Dec 2021,"$1,280,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-st-george/property-listings/4-12-14-high-street-carlton-afsgs0,4/12-14 High Street,Carlton NSW 2218,2,1,1,Unit,Sold by Auction  on 04 Dec 2021,"$610,000"
https://www.ratemyagent.com.au/real-estate-agency/atlas-by-lj-hooker-lower-north-shore/property-listings/23-94a-spofforth-street-cremorne-afsob1,23/94A Spofforth Street,Cremorne NSW 2090,2,1,1,Unit,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/belle-property-strathfield/property-listings/5-59-61-underwood-road-homebush-afs5s6,5/59-61 Underwood Road,Homebush NSW 2140,4,3,2,Townhouse,Sold by Auction  on 04 Dec 2021,"$1,305,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-cronulla/property-listings/6-67-warrangarree-dr-woronora-heights-afssfr,6/67 Warrangarree Dr,Woronora Heights NSW 2233,3,2,2,Townhouse,Sold by Auction  on 04 Dec 2021,"$1,010,000"
https://www.ratemyagent.com.au/real-estate-agency/uniland-real-estate/property-listings/2-53-kirkham-road-auburn-afqkfs,2/53 Kirkham Road,Auburn NSW 2144,3,2,1,Townhouse,Sold by Private Sale  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/belle-property-strathfield/property-listings/2-213-queen-st-concord-west-afswe4,2/213 Queen St,Concord West NSW 2138,3,2,2,Townhouse,Sold by Auction  on 04 Dec 2021,"$1,220,000"
https://www.ratemyagent.com.au/real-estate-agency/callagher-estate-agents/property-listings/6-7-9-kroombit-street-dulwich-hill-afsmle,6/7-9 Kroombit Street,Dulwich Hill NSW 2203,3,2,2,Townhouse,Sold by Auction  on 04 Dec 2021,"$1,703,000"
https://www.ratemyagent.com.au/real-estate-agency/cobden-hayson-annandale/property-listings/8-10-john-st-leichhardt-afsz89,8/10 John St,Leichhardt NSW 2040,2,1,1,Townhouse,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/prdnationwide-kogarah/property-listings/6-5-nielsen-ave-carlton-afsgv0,6/5 Nielsen Ave,Carlton NSW 2218,2,1,1,Unit,Sold by Auction  on 04 Dec 2021,"$740,000"
https://www.ratemyagent.com.au/real-estate-agency/one-agency-menai-sutherland/property-listings/14-32-52-bishop-road-menai-afrrhm,14/32-52 Bishop Road,Menai NSW 2234,3,2,2,Townhouse,Sold by Private Sale  on 04 Dec 2021,"$1,082,500"
https://www.ratemyagent.com.au/real-estate-agency/tracy-yap-realty-epping/property-listings/4-33-burke-st-telopea-afsgxq,4/33 Burke St,Telopea NSW 2117,3,2,2,Townhouse,Sold by Auction  on 04 Dec 2021,"$950,000"
https://www.ratemyagent.com.au/real-estate-agency/greg-gilbert-real-estate/property-listings/4-101-yathong-road-caringbah-afts75,4/101 Yathong Road,Caringbah NSW 2229,3,1,1,Townhouse,Sold by Auction  on 04 Dec 2021,"$1,270,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-park-coast/property-listings/3-25-cook-st-randwick-afv5un,3/25 Cook St,Randwick NSW 2031,2,1,1,Unit,Sold by Auction  on 04 Dec 2021,"$1,070,500"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-ay-realty-chatswood/property-listings/1-12-willandra-st-lane-cove-north-afpjtc,1/12 Willandra St,Lane Cove North NSW 2066,3,3,2,Townhouse,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/quest-realty-group-bankstown/property-listings/14-51-cairds-avenue-bankstown-af787f,14/51 Cairds Avenue,Bankstown NSW 2200,2,1,1,Unit,Sold by Private Sale  on 03 Dec 2021,"$447,000"
https://www.ratemyagent.com.au/real-estate-agency/dijones-chatswood/property-listings/7-319-mowbray-road-chatswood-aftizt,7/319 Mowbray Road,Chatswood NSW 2067,3,2,2,Townhouse,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/upside-nsw-act/property-listings/3-10-14-bicheno-close-west-hoxton-afv23x,3/10-14 Bicheno Close,West Hoxton NSW 2171,3,2,2,Townhouse,Sold by Auction  on 03 Dec 2021,"$700,000"
https://www.ratemyagent.com.au/real-estate-agency/mq-realty-pty-ltd/property-listings/6-190-park-road-auburn-aeavur,6/190 Park Road,Auburn NSW 2144,3,2,2,Unit,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/prudential-real-estate-liverpool/property-listings/5-67-elizabeth-drive-liverpool-aftqkn,5/67 Elizabeth Drive,Liverpool NSW 2170,3,2,1,Unit,Sold by Private Sale  on 03 Dec 2021,"$625,000"
https://www.ratemyagent.com.au/real-estate-agency/laing-simmons-blacktown/property-listings/2-72-reid-st-werrington-afqjoi,2/72 Reid St,Werrington NSW 2747,4,2,2,Townhouse,Sold by Private Sale  on 03 Dec 2021,"$575,000"
https://www.ratemyagent.com.au/real-estate-agency/atlas-by-lj-hooker-lower-north-shore/property-listings/1401-5-rockdale-plaza-drive-rockdale-aftii8,1401/5 Rockdale Plaza Drive,Rockdale NSW 2216,2,2,1,Unit,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/abode-property-agents/property-listings/1-52-oleander-parade-caringbah-south-afv0gy,1/52 Oleander Parade,Caringbah South NSW 2229,3,2,2,Townhouse,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/starr-partners-merrylands/property-listings/4-7-9-ellis-street-merrylands-afo92e,4/7-9 Ellis Street,Merrylands NSW 2160,3,2,2,Townhouse,Sold by Private Sale  on 03 Dec 2021,"$700,000"
https://www.ratemyagent.com.au/real-estate-agency/property-central-penrith/property-listings/3-62-brisbane-st-oxley-park-afoe6b,3/62 Brisbane St,Oxley Park NSW 2760,3,2,2,Townhouse,Sold by Private Sale  on 03 Dec 2021,"$555,000"
https://www.ratemyagent.com.au/real-estate-agency/the-agency-lower-north-shore/property-listings/18-2a-killara-ave-killara-afsgob,18/2A Killara Ave,Killara NSW 2071,3,2,2,Unit,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/traversgray-real-estate/property-listings/6501-177-mitchell-road-erskineville-afngtm,6501/177 Mitchell Road,Erskineville NSW 2043,1,1,1,Unit,Sold by Private Sale  on 03 Dec 2021,"$699,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-north-ryde-macquarie-park/property-listings/26-3-durham-close-macquarie-park-aftdqw,26/3 Durham Close,Macquarie Park NSW 2113,2,1,2,Unit,Sold by Auction  on 03 Dec 2021,"$835,300"
https://www.ratemyagent.com.au/real-estate-agency/agent4u-realty-group/property-listings/222-25-hope-st-penrith-afpab9,222/25 Hope St,Penrith NSW 2750,2,2,1,Unit,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-epping/property-listings/55-116-herring-rd-macquarie-park-afu3jz,55/116 Herring Rd,Macquarie Park NSW 2113,2,1,1,Unit,Sold by Auction  on 03 Dec 2021,"$840,000"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-penrith/property-listings/3-23-first-st-kingswood-aezzmb,3/23 First St,Kingswood NSW 2747,2,1,1,Townhouse,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/guardian-realty-castle-hill/property-listings/16-231-old-northern-rd-castle-hill-afrnlz,16/231 Old Northern Rd,Castle Hill NSW 2154,3,2,2,Townhouse,Sold by Private Sale  on 03 Dec 2021,"$1,270,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-st-marys-diamantidis-group/property-listings/6-49-australia-st-st-marys-afsam4,6/49 Australia St,St Marys NSW 2760,2,2,1,Townhouse,Sold by Private Sale  on 03 Dec 2021,"$540,000"
https://www.ratemyagent.com.au/real-estate-agency/prdnationwide-harvey-oatley/property-listings/4-20-seaforth-ave-woolooware-aftjme,4/20 Seaforth Ave,Woolooware NSW 2230,1,1,1,Unit,Sold by Private Sale  on 03 Dec 2021,"$645,000"
https://www.ratemyagent.com.au/real-estate-agency/agency/property-listings/3-12-johnston-ave-lurnea-afsr35,3/12 Johnston Ave,Lurnea NSW 2170,2,1,1,Townhouse,Sold by Private Sale  on 03 Dec 2021,"$567,000"
https://www.ratemyagent.com.au/real-estate-agency/stone-real-estate-engadine/property-listings/5-8-taylor-close-miranda-afstdm,5/8 Taylor Close,Miranda NSW 2228,3,2,1,Townhouse,Sold by Private Sale  on 03 Dec 2021,"$1,070,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-macarthur-group-campbelltown/property-listings/5-71-77-joseph-street-kingswood-afr5pe,5/71-77 Joseph Street,Kingswood NSW 2747,3,2,2,Townhouse,Sold by Private Sale  on 03 Dec 2021,"$540,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-mosman/property-listings/4-15-17-bydown-street-neutral-bay-aftklh,4/15-17 Bydown Street,Neutral Bay NSW 2089,3,2,1,Townhouse,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/doyle-spillane/property-listings/14-19-sturdee-parade-dee-why-aftco0,14/19 Sturdee Parade,Dee Why NSW 2099,2,2,1,Unit,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/doyle-spillane/property-listings/3-85-pacific-parade-dee-why-aftcx0,3/85 Pacific Parade,Dee Why NSW 2099,2,1,1,Unit,Sold by Private Sale  on 03 Dec 2021,"$850,000"
https://www.ratemyagent.com.au/real-estate-agency/richardson-wrench-north-sydney/property-listings/7-4-riley-st-north-sydney-aftreo,7/4 Riley St,North Sydney NSW 2060,2,1,1,Townhouse,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/raine-horne-liverpool/property-listings/86-2-riverpark-drive-liverpool-afmq15,86/2 Riverpark Drive,Liverpool NSW 2170,2,1,1,Unit,Sold by Private Sale  on 03 Dec 2021,"$375,000"
https://www.ratemyagent.com.au/real-estate-agency/professionals-greenacre-real-estate/property-listings/6-75-chiswick-road-greenacre-afntve,6/75 Chiswick Road,Greenacre NSW 2190,2,1,1,Townhouse,Sold by Private Sale  on 03 Dec 2021,"$585,000"
https://www.ratemyagent.com.au/real-estate-agency/upside-nsw-act/property-listings/3-10-14-bicheno-close-west-hoxton-aftrzy,3/10-14 Bicheno Close,West Hoxton NSW 2171,3,2,2,Townhouse,Sold by Auction  on 03 Dec 2021,"$700,000"
