Link,Address,Suburb,Beds,Baths,Carpark,Type,Sale Type,Price
https://www.ratemyagent.com.au/real-estate-agency/atlas-by-lj-hooker-northern-districts/property-listings/127-25-best-st-lane-cove-afsjpw,127/25 Best St,Lane Cove NSW 2066,3,1,1,Apartment,Sold by Private Sale  on 15 Feb 2022,"$1,450,000"
https://www.ratemyagent.com.au/real-estate-agent/wilson-diec-cl933/sales/overview,1605/7 Railway Street,Chatswood NSW 2067,2,2,1,Apartment,Sold by Auction  on 15 Feb 2022,"$1,940,000"
https://www.ratemyagent.com.au/real-estate-agency/laing-simmons-double-bay/property-listings/13-4-ward-ave-elizabeth-bay-afykr4,13/4 Ward Ave,Elizabeth Bay NSW 2011,1,1,,Apartment,Sold by Auction  on 15 Feb 2022,"$840,000"
https://www.ratemyagent.com.au/real-estate-agency/harcourts-rouse-hill-kellyville/property-listings/116-sanctuary-drive-beaumont-hills-afynon,116 Sanctuary Drive,Beaumont Hills NSW 2155,4,2,2,House,Sold by Private Sale  on 15 Feb 2022,"$1,851,000"
https://www.ratemyagent.com.au/real-estate-agent/roger-li-zhu-iu594/sales/overview,B606/12 Nancarrow Avenue,Ryde NSW 2112,2,2,1,Apartment,Sold by Private Sale  on 15 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-castle-cove/property-listings/26-deepwater-road-castle-cove-afyi96,26 Deepwater Road,Castle Cove NSW 2069,3,2,2,House,Sold by Auction  on 15 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agent/sana-nahas-hn065/sales/overview,10 Lee St,Condell Park NSW 2200,5,4,3,Duplex,Sold by Private Sale  on 15 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/belle-property-blue-mountains/property-listings/3-dorset-street-leura-afxddt,3 Dorset Street,Leura NSW 2780,,,,Land,Sold by Private Sale  on 15 Feb 2022,"$450,000"
,Lot 329 Bullen Road,Silverdale NSW 2752,4,2,2,Development Site,Sold by Private Sale  on 15 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/remax-lifestyle-marketing/property-listings/12-58-castlereagh-st-penrith-afxcpo,12/58 Castlereagh St,Penrith NSW 2750,3,1,1,Townhouse,Sold by Private Sale  on 15 Feb 2022,Price unavailable
,Lot 609 Caldwell Avenue,Edmondson Park NSW 2174,5,3,2,Development Site,Sold by Private Sale  on 15 Feb 2022,Price unavailable
